DATE,NASDAQCOM,Change
1972-05-01,130.16,-0.008908856
1972-05-02,129.34,-0.006299939
1972-05-03,128.77,-0.004406989
1972-05-04,128.92,0.001164868
1972-05-05,129.43,0.003955942
1972-05-08,128.62,-0.006258209
1972-05-09,125.78,-0.022080547
1972-05-10,126.77,0.007870886
1972-05-11,127.95,0.009308196
1972-05-12,129.44,0.011645174
1972-05-15,130.34,0.006953028
1972-05-16,130.36,0.000153445
1972-05-17,129.76,-0.004602639
1972-05-18,130.82,0.008168927
1972-05-19,132.16,0.010243082
1972-05-22,132.38,0.001664649
1972-05-23,132.72,0.002568364
1972-05-24,133.47,0.005650995
1972-05-25,133.8,0.002472466
1972-05-26,133.95,0.001121076
1972-05-29,133.95,0
1972-05-30,133.45,-0.003732736
1972-05-31,132.53,-0.006893968
1972-06-01,133.13,0.004527277
1972-06-02,133.52,0.002929467
1972-06-05,132.74,-0.005841821
1972-06-06,132,-0.005574808
1972-06-07,131,-0.007575758
1972-06-08,131.07,0.000534351
1972-06-09,130.57,-0.003814755
1972-06-12,130.38,-0.001455158
1972-06-13,130.78,0.003067955
1972-06-14,131.45,0.005123108
1972-06-15,131.29,-0.001217193
1972-06-16,131.28,-7.62E-05
1972-06-19,130.76,-0.003960999
1972-06-20,131.07,0.002370756
1972-06-21,131.38,0.002365148
1972-06-22,130.79,-0.00449079
1972-06-23,130.22,-0.004358131
1972-06-26,129.31,-0.006988174
1972-06-27,129.79,0.00371201
1972-06-28,129.58,-0.001617998
1972-06-29,129.35,-0.001774965
1972-06-30,130.08,0.005643603
1972-07-03,130.59,0.003920664
1972-07-04,130.59,0
1972-07-05,131.28,0.005283712
1972-07-06,131.86,0.004418038
1972-07-07,131.5,-0.002730168
1972-07-10,130.85,-0.004942966
1972-07-11,130.47,-0.002904089
1972-07-12,130.11,-0.002759255
1972-07-13,129.03,-0.008300669
1972-07-14,129.38,0.002712547
1972-07-17,128.4,-0.007574586
1972-07-18,127.54,-0.006697819
1972-07-19,127.77,0.001803356
1972-07-20,127.09,-0.005322063
1972-07-21,127.63,0.004248957
1972-07-24,128.77,0.008932069
1972-07-25,128.47,-0.002329735
1972-07-26,128.65,0.001401105
1972-07-27,128.36,-0.002254178
1972-07-28,128.15,-0.001636024
1972-07-31,127.75,-0.003121342
1972-08-01,128.45,0.005479452
1972-08-02,129.39,0.007318023
1972-08-03,130.31,0.007110287
1972-08-04,130.94,0.004834625
1972-08-07,130.97,0.000229113
1972-08-08,130.61,-0.002748721
1972-08-09,130.75,0.001071893
1972-08-10,130.84,0.000688337
1972-08-11,131.68,0.006420055
1972-08-14,131.7,0.000151883
1972-08-15,131.48,-0.001670463
1972-08-16,131.46,-0.000152114
1972-08-17,130.89,-0.00433592
